impound_no,Animal_ID,Data_Source,Record_Type,Link,Current_Location,Animal_Name,animal_type,Age,Animal_Gender,Animal_Breed,Animal_Color,Date,Date_Type,Obfuscated_Address,City,State,Zip,jurisdiction,obfuscated_latitude,obfuscated_longitude,Image,image_alt_text,Memo,Temperament
K26-188041,A745651,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=3063132,In Public Home,,Dog,Unknown<p/>,Male,Chihuahua - Smooth Coated,Unknown,"Apr 14, 2026",Date Found,Federal  Way Library,,,,FEDERAL WAY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=3063132,Image Copyright HLP Inc. 2026,"Description: White and tan <p/>Age: Unknown<p/>Found Near: Federal way , Federal Way WA  98003<p/>Found Date: 2026-04-14<p/>",
K26-187310,A744100,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=3050020,In Public Home,,Dog,Unknown<p/>,Male,Chihuahua - Smooth Coated,Unknown,"Mar 06, 2026",Date Found,LANGSTON  RD,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=3050020,Image Copyright HLP Inc. 2026,"Description: White coat tan ears and spots with a plaid harness<p/>Age: Unknown<p/>Found Near: Langston Rd, Renton WA  98057<p/>Found Date: 2026-03-06<p/>",
K26-187601,A744746,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=3056019,LOST,Phoenix,Cat,Over 1 year<p/>,Male,American Wirehair,Brown,"Mar 22, 2026",Date Lost,GOSSARD  ST,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=3056019,Image Copyright HLP Inc. 2026,"<p/>Age: Over 1 year<p/>Location Lost: Gossard st , Enumclaw WA  98022<p/>Lost Date: 2026-03-22<p/>",
K26-187637,A744827,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=3056621,LOST,Pip,Cat,Under 1 year<p/>,Female,Domestic Shorthair,Black,"Mar 23, 2026",Date Lost,1100 block of  3rd Ave Bldg,,,,SEATTLE,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=3056621,Image Copyright HLP Inc. 2026,"Description: She is a small 9 month old, completely black DSH, spayed, her eyes appear milky, she could seem younger, scared<p/>Age: Under 1 year<p/>Location Lost: 3rd ave & Virginia st, Seattle WA  98121<p/>Lost Date: 2026-03-23<p/>",
K26-187293,A740290,Regional Animal Services of King County,ADOPTABLE,https://kingcounty.gov/en/dept/executive-services/animals-pets-pests/regional-animal-services/overview-about,In RASKC Foster Home,Chestnut,Dog,2 YEARS 4 MONTHS,Neutered Male,Pit Bull,Gray / White,"Dec 02, 2025",Received on,21615 64TH AVE S,KENT,WA,98032,KENT,47.407788,-122.255197,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A740290,Image Copyright HLP Inc. 2026,"Received on: 2025-12-02<p/> Description: Gray / White Neutered Male Pit Bull Dog<p/> Age: 2 YEARS 4 MONTHS<p/> Adoption Fee: $50.00<p/> Current Location: In RASKC Foster Home <p/>Hi! My name is Chestnut and I am available for adoption.<p/><p/>I was abandoned at the shelter December 2, 2025.<p/><p/>I weigh 78.0 lbs and am considered a ""large breed"" dog. I am quite chonky and would benefit from some weight loss. I LOVE going on walks and playing in the water so with some consistency and a healthy diet I will be at a healthy weight in no time!<p/><p/>I am an affectionate lovebug who would be thrilled to hang out with you at home once I get to know you! Since I can be unsure of new things and people at first, I would do best in a home without younger children or other animals.<p/><p/>I was in a foster home for a few months. My foster states that I am quite the couch potato and loves to share the bed with you at night.<p/><p/>I am a gentle and loving dog who likes to take things slow. I may get nervous in new situations, so I am looking for a family who understands that I might take some time to warm up. Once I get to know you, I will be a very devoted friend!<p/><p/>",
K26-188048,A745657,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=3063228,LOST,Poe,Cat,Over 1 year<p/>,Male,American Shorthair,Black,"Apr 14, 2026",Date Lost,400 block of  27TH AVE E,Seattle,,98112,SEATTLE,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=3063228,Image Copyright HLP Inc. 2026,"<p/>Age: Over 1 year<p/>Location Lost: 442 27th Ave E, Seattle WA  98112<p/>Lost Date: 2026-04-14<p/>",
K26-187474,A744451,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=3053452,LOST,Lefty,Cat,Over 1 year<p/>,Male,Domestic Mediumhair,Unknown,"Mar 16, 2026",Date Lost,10000 block of  SE 242nd Pl,Kent,,98030,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=3053452,Image Copyright HLP Inc. 2026,"Description: My pet is cute he is friendly with adults but scared with babies. He has such a soft personality. I Lost him around third weeks of July 2025. I think he might sense that we are going to moved in different States so one day he went out to play and never come back. <p/>Age: Over 1 year<p/>Location Lost: 10015 Se 242Nd Pl Kent Wa, Kent WA  98030<p/>Lost Date: 2026-07-26<p/>",
K26-188056,A736755,Regional Animal Services of King County,ADOPTABLE,https://kingcounty.gov/en/dept/executive-services/animals-pets-pests/regional-animal-services/overview-about,In RASKC Foster Home,Violet,Rabbit Sh,7 MONTHS,Spayed Female,Rabbit Sh,Fawn,"Sep 27, 2025",Received on,21615 64TH AVE S,KENT,WA,98032,ENUMCLAW,47.407788,-122.255197,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A736755,Image Copyright HLP Inc. 2026,"Received on: 2025-09-27<p/> Description: Fawn Spayed Female Rabbit Sh Rabbit Sh<p/> Age: 7 MONTHS<p/> Adoption Fee: $30.00<p/> Current Location: In RASKC Foster Home <p/>Hi! My name is Violet and I am available for adoption.<p/><p/>I was brought to RASKC on September 27, 2025. I have been in a few wonderful foster homes until I was big enough for surgery, but now I am ready to find my forever family :)<p/><p/>My foster says this about me, ""Violet is a gentle, curious and interactive bunny! Once she trusts her environment and you - which might take a short 1-2 days - she is delighted to have your company, happy to explore you like a human climbing gym and is generous with 'bunny kisses'. <p/><p/>Violet is young and needs room for her super cute zoomies and binkies. She likes toys, treats and playing her blanket. She is getting used to being in one place to enjoy being pet, but as a young bun, she is often in motion when interacting. Like most bunnies, she does NOT like being picked up and cuddled. Violet is therefore only suitable for older kids who know how to be gentle, predictable and respectful. Already litter trained with no mistakes, Violet would make a rewarding pet for a human or family who would like to spend time with her, or as a companion for another gentle bunny.""<p/><p/>If you would like to meet me please fill out a foster interest form!<p/><p/>Heres a cute video of me: https://youtu.be/6mPSGNNwe8o<p/>",
K26-187583,A744711,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=3055660,LOST,Rowdy,Dog,Over 1 year<p/>,Male,Border Collie,Black,"Mar 22, 2026",Date Lost,BRIDLEWOOD  CIR,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=3055660,Image Copyright HLP Inc. 2026,"<p/>Age: Over 1 year<p/>Location Lost: Bridlewood cir, Bellevue WA  98008<p/>Lost Date: 2026-03-22<p/>",
K26-188079,A745725,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=3063741,In Public Home,,Cat,Under 1 year<p/>,Male,American Curl Longhair,Unknown,"Apr 01, 2026",Date Found,CAN’T  REMEMBER,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=3063741,Image Copyright HLP Inc. 2026,"Description: Orange cat<p/>Age: Under 1 year<p/>Found Near: Can’t remember , Auburn WA  98002<p/>Found Date: 2026-04-01<p/>",
K26-187300,A744072,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=3049746,LOST,Chewie,Cat,Over 1 year<p/>,Male,Norwegian Forest Cat,Brown,"Mar 05, 2026",Date Lost,207TH  SE ST AND 101ST AVE SE,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=3049746,Image Copyright HLP Inc. 2026,"Description: Chewie is a longhair cat that looks like a maine coon or a norwegian forest cat. He is very lovable and social. He's approximately 12 lbs. For unique markings, he had part of his tail shaved a few months ago, so the base of it has shorter fur. He also has some callouses growing on his toes which are abnormal <p/>Age: Over 1 year<p/>Location Lost: 207th SE St and 101st Ave SE, Kent WA  98031<p/>Lost Date: 2026-03-05<p/>",
K26-187410,A744304,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=3051984,LOST,Snowball,Dog,Over 1 year<p/>,Female,Samoyed,White,"Mar 12, 2026",Date Lost,SE  64th Pl & 123rd Ave SE,Bellevue,,98006,BELLEVUE,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=3051984,Image Copyright HLP Inc. 2026,"<p/>Age: Over 1 year<p/>Location Lost: 64th and 123rd Avenue SE, Bellevue WA  98006<p/>Lost Date: 2026-03-12<p/>",
K26-187823,A745242,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=3059999,LOST,Markiz,Cat,Over 1 year<p/>,Male,Domestic Mediumhair,Black,"Apr 04, 2026",Date Lost,23600 block of  SE 281ST ST,Maple Valley,,98038,MAPLE VALLEY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=3059999,Image Copyright HLP Inc. 2026,"Description: 2 year old male neutered cat. Fluffy black smoke coat with some brownish spots at the chest/stomach area. Very friendly.<p/>Age: Over 1 year<p/>Location Lost: 23630 SE 281st ST, Maple Valley WA  98038<p/>Lost Date: 2026-04-04<p/>",
K26-187796,A745199,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=3059497,LOST,,Dog,Over 1 year<p/>,Male,Yorkshire Terrier,Unknown,"Apr 03, 2026",Date Lost,PUGET  DR. RENTON,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=3059497,Image Copyright HLP Inc. 2026,"Description: White with  2 black spots<p/>Age: Over 1 year<p/>Location Lost: Puget Dr. Renton, Renton WA  98055<p/>Lost Date: 2026-04-03<p/>",
K26-188046,A745655,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=3063176,LOST,Violet,Dog,Over 1 year<p/>,Female,Australian Shepherd,White,"Apr 14, 2026",Date Lost,NE  88th Pl & Avondale Rd NE,Redmond,,98052,REDMOND,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=3063176,Image Copyright HLP Inc. 2026,"Description: Violet is a white and cream color. She is just a little over a year old. She was wearing a black collar<p/>Age: Over 1 year<p/>Location Lost: 88th and Avondale, Redmond WA  98052<p/>Lost Date: 2026-04-14<p/>",
K26-187820,A745238,Regional Animal Services of King County,FOUND,https://kingcounty.gov/en/dept/executive-services/animals-pets-pests/regional-animal-services/overview-about,In RASKC Foster Home,Hen,Cat,3 YEARS,Female,Domestic Mediumhair,Black,"Apr 05, 2026",Received on,44900 block of  208TH AVE SE,ENUMCLAW,WA,98022,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A745238,Image Copyright HLP Inc. 2026,Received on: 2026-04-05<p/> Found Near: 44900 block of  208TH AVE SE<p/> Description: Black Female Domestic Mediumhair Cat<p/> Age: 3 YEARS<p/> Current Location: In RASKC Foster Home <p/>,
K26-187713,A744975,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=3057846,LOST,Rex,Dog,Over 1 year<p/>,Male,German Shepherd,Brown,"Mar 29, 2026",Date Lost,14000 block of  33RD AVE S,Tukwila,,98168,TUKWILA,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=3057846,Image Copyright HLP Inc. 2026,"Description: Rex is a smaller German shepherd with white on his chest, wearing a red collar and a tan collar. <p/>Age: Over 1 year<p/>Location Lost: 14017 33rd Avenue South, Seattle WA  98168<p/>Lost Date: 2026-03-29<p/>",
K25-182195,A732537,Regional Animal Services of King County,ADOPTABLE,https://kingcounty.gov/en/dept/executive-services/animals-pets-pests/regional-animal-services/overview-about,In RASKC Foster Home,Flash,Rabbit Sh,11 MONTHS,Neutered Male,Rabbit Sh,Brown,"Jul 23, 2025",Received on,21615 64TH AVE S,KENT,WA,98032,KING COUNTY,47.407788,-122.255197,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A732537,Image Copyright HLP Inc. 2026,"Received on: 2025-07-23<p/> Description: Brown Neutered Male Rabbit Sh Rabbit Sh<p/> Age: 11 MONTHS<p/> Adoption Fee: $15<p/> Current Location: In RASKC Foster Home <p/>Meet Flash & Fluffy  A Bonded Brother Duo!<p/><p/>Flash and Fluffy are one-year-old brothers who share a lifelong bond and are looking for a forever home together. These handsome boys balance each other perfectly and bring double the personality!<p/><p/>Flash is the curious explorer. Hes playful, alert, and always ready to check out whats happening around him. Whether its zooming around during playtime or investigating a new toy, Flash brings energy and fun wherever he goes.<p/><p/>Fluffy is the confident, dominant big brother. He naturally takes the lead and keeps things in order, but hes also incredibly sweet and devoted to his brother. Fluffy enjoys attention on his terms and loves lounging comfortably while supervising the room.<p/><p/>These boys thrive on routine, fresh hay, leafy greens, and space to hop and binky. As a bonded pair, they rely on each other for comfort and companionship, and watching their interactions is truly heart-melting.<p/><p/>Flash and Fluffy would do best in a loving indoor home that understands rabbit care and appreciates their unique personalities. If youre ready for double the fluff, double the fun, and double the love, these brothers are ready to meet you!<p/>",
K26-187893,A745401,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A745401,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Ghost Baby,Dog,3 YEARS,Neutered Male,Great Pyrenees,White,"Apr 08, 2026",Received on,8300 block of  158TH AVE NE,REDMOND,WA,98052,REDMOND,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A745401,Image Copyright HLP Inc. 2026,"Received on: 2026-04-08<p/> Found Near: 8300 block of  158TH AVE NE<p/> Description: White Neutered Male Great Pyrenees Dog<p/> Age: 3 YEARS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K26-187995,A745590,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A745590,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Cat,6 YEARS,Female,Domestic Shorthair,Gray / White,"Apr 13, 2026",Received on,10000 block of  SE 258TH PL,KENT,WA,98030,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A745590,Image Copyright HLP Inc. 2026,"Received on: 2026-04-13<p/> Found Near: 10000 block of  SE 258TH PL<p/> Description: Gray / White Female Domestic Shorthair Cat<p/> Age: 6 YEARS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K26-187930,A745456,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A745456,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Barn Cat Moonie,Barn Cat,1 YEAR,Spayed Female,Domestic Shorthair,Black,"Apr 10, 2026",Received on,,,,,,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A745456,Image Copyright HLP Inc. 2026,"Received on: 2026-04-10<p/> Description: Black<p/>  Spayed Female Domestic Shorthair Barn Cat<p/> Age: 1 YEAR<p/> Adoption Fee: An Adoption Fee has not been set. Please inquire with the shelter.<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/><p/>",
K26-187507,A744535,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=3054133,LOST,Bruno,Dog,Over 1 year<p/>,Male,Standard Poodle,Black,"Mar 18, 2026",Date Lost,3600 block of  S 228TH ST,SeaTac,,98198,SEATAC,47.397843,-122.284701,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=3054133,Image Copyright HLP Inc. 2026,"Description: Black curly hair, medium build, 60 lbs.<p/>Age: Over 1 year<p/>Location Lost: 3600 S 228th St, Seattle WA  98198<p/>Lost Date: 2026-03-18<p/>",
K26-187729,A745018,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=3058182,LOST,Miffy,Cat,Over 1 year<p/>,Female,Domestic Shorthair,Brown,"Mar 27, 2026",Date Lost,SE  344th St & 196th Ave SE,King County,,98092,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=3058182,Image Copyright HLP Inc. 2026,"Description: Has white stomach and paws. Right paw has one orange toe, left paw has one orange and one brown. Has orange tip of right ear. <p/>Age: Over 1 year<p/>Location Lost: SE 344th St and 196th Ave SE, Auburn WA  98092<p/>Lost Date: 2026-03-27<p/>",
K26-187987,A745573,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=3062720,In Public Home,,Cat,Under 1 year<p/>,Unknown,Domestic Longhair,Unknown,"Apr 03, 2026",Date Found,SE  268th Pl & 213th Pl SE,Maple Valley,,98038,MAPLE VALLEY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=3062720,Image Copyright HLP Inc. 2026,"Description: no collar, no chip, very friendly long haired calico, unknown sex but assuming female<p/>Age: Under 1 year<p/>Found Near: SE 268th Pl and 213th Pl SE, Maple Valley WA  98038<p/>Found Date: 2026-04-03<p/>",
K26-187972,A745522,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=3062535,In Public Home,Russia,Dog,Over 1 year<p/>,Male,Pit Bull,Black,"Apr 12, 2026",Date Found,Margaret  Mead Elementary School,,,,SAMMAMISH,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=3062535,Image Copyright HLP Inc. 2026,"Description: No collar. 12 yrs old, grey around the face with a limp and signs of hip pain.  Dog was taken to Seattle humane society 13212 SE Eastgate Way, Bellevue, WA 98005<p/>Age: Over 1 year<p/>Found Near: Margaret Mead Elementary School, Sammamish WA  98074<p/>Found Date: Apr 12 202<p/>",
K26-187812,A745226,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A745226,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Frankie,Dog,3 YEARS,Neutered Male,Pit Bull,Black / White,"Apr 05, 2026",Received on,,,,,,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A745226,Image Copyright HLP Inc. 2026,"Received on: 2026-04-05<p/> Description: Black / White<p/>  Neutered Male Pit Bull Dog<p/> Age: 3 YEARS<p/> Adoption Fee: $200.00<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>Hi! My name is Frankie  and I am available for adoption.<p/><p/>Dont be fooled by my apperence I am A okay! I have something called Dermatis. This is means I have some hairloss, over my face, some parts of my legs and tail. Dermatitis can be related to lots of different things I could have a food allergy, environmental allergy, I could have bacteria on my face that made me have hair loss. I am currently on antibiotics with probiotics between doses, parasite preventative, and topical skin therapy. My caregivers are very good about helping me.<p/><p/>Something that also should be noted about me is I have very little eyesight. This never stops me from having a good time or going on long walks! My caregivers notice I still love to play, walk and have yummy treats!<p/><p/>Besides my medical history lets talk about what a good boy I am! I was brought in by a good Samaritan on  04/05/2026 as a stray. <p/><p/>I am incredibly affectionate and love to give kisses and be around my caregivers! I would be so thrilled to cuddle with you on your couch or bed! I will demand love and attention! I am overall a super adaptable and go with the flow dog. I am outgoing and carefree, and I just can't wait to find my forever home!<p/><p/>I weigh  61 lbs and am considered a large breed dog! I walk very well on a leash and only pull sometimes (can you blame me I am just super excited!)<p/><p/>My caregivers are also so proud of me that I am so well potty trained! I never go in my kennel and I keep it so clean! I also am incredibly gentle with my stuffies.<p/><p/>If you are thinking about adding a sweet and loyal boy to your family I am your guy:) please come and check me out!<p/><p/><p/>",
K26-187295,A744045,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=3049563,In Public Home,,Dog,Unknown<p/>,Female,Border Collie,Unknown,"Mar 05, 2026",Date Found,13th  Ave & E Remington Ct,Seattle,,98122,SEATTLE,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=3049563,Image Copyright HLP Inc. 2026,"Description: Black and white female dog<p/>Age: Unknown<p/>Found Near: 13th Ave and E Remington Ct, Seattle WA  98122<p/>Found Date: 2026-03-05<p/>",
K26-187909,A745427,Regional Animal Services of King County,FOUND,https://kingcounty.gov/en/dept/executive-services/animals-pets-pests/regional-animal-services/overview-about,In RASKC Foster Home,Beans,Cat,4 WEEKS,Female,Domestic Shorthair,Gray,"Apr 09, 2026",Received on,44900 block of  208TH AVE SE,ENUMCLAW,WA,98022,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A745427,Image Copyright HLP Inc. 2026,Received on: 2026-04-09<p/> Found Near: 44900 block of  208TH AVE SE<p/> Description: Gray Female Domestic Shorthair Cat<p/> Age: 4 WEEKS<p/> Current Location: In RASKC Foster Home <p/>,
K26-187137,A735080,Regional Animal Services of King County,ADOPTABLE,https://kingcounty.gov/en/dept/executive-services/animals-pets-pests/regional-animal-services/overview-about,In RASKC Foster Home,Boba,Dog,8 YEARS 7 MONTHS,Neutered Male,Labrador Retriever / Mix,Black,"Sep 02, 2025",Received on,21615 64TH AVE S,KENT,WA,98032,DES MOINES,47.407788,-122.255197,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A735080,Image Copyright HLP Inc. 2026,"Received on: 2025-09-02<p/> Description: Black Neutered Male Labrador Retriever / Mix Dog<p/> Age: 8 YEARS 7 MONTHS<p/> Adoption Fee: $50<p/> Current Location: In RASKC Foster Home <p/>Hi! My name is Bubba and I am available for adoption!<p/><p/>I am considered a large breed/medium breed dog.<p/><p/>I am an independent dog who likes to do my own thing but warms up to the right person.<p/><p/>I am vocal but I tend to calm down more when the people around me stay calm. I do best when I have lots of exercise and something to keep my mind busy. I would do best in a calm, quiet home with adults only.<p/><p/>I am very treat motivated and love tasty snacks.<p/><p/>I was nominated as the Pet of the Week on September 26, 2025. This means that my adoption fee has been reduced. Please note that a pet license is a requirement and therefore a fee may be applied. This helps my safe return home should I become lost, and comes with additional benefits such as Vacation Pet Alert, Free Ride Home and more (visit our pet licensing page for more info)!<p/><p/>I am currently in a wonderful Volunteer Foster Home. So, to meet with me, you'll need to fill out an Foster Adoption Interest Form on our website! My Animal ID Number is A735080 and I am excited to meet you!<p/>",
K26-188094,A745758,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A745758,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Cat,7 WEEKS,Female,Domestic Mediumhair,Black / White,"Apr 17, 2026",Received on,1000 block of  SE 246TH PL,KENT,WA,98030,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A745758,Image Copyright HLP Inc. 2026,"Received on: 2026-04-17<p/> Found Near: 1000 block of  SE 246TH PL<p/> Description: Black / White Female Domestic Mediumhair Cat<p/> Age: 7 WEEKS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K26-187965,A745508,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A745508,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Roxie,Dog,NO AGE,Female,Pit Bull / Mix,Black / White,"Apr 12, 2026",Received on,11000 block of  SE KENT KANGLEY RD,KENT,WA,98030,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A745508,Image Copyright HLP Inc. 2026,"Received on: 2026-04-12<p/> Found Near: 11000 block of  SE KENT KANGLEY RD<p/> Description: Black / White Female Pit Bull / Mix Dog<p/> Age: NO AGE<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K26-187674,A744890,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=3057210,LOST,Jack Chope,Dog,Over 1 year<p/>,Male,Pit Bull,Unknown,"Mar 27, 2026",Date Lost,Elliott  Ave W & W Prospect St,Seattle,,98119,SEATTLE,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=3057210,Image Copyright HLP Inc. 2026,"Description: He's a pitbull boxer reddish brownish coat and he had a blue and yellow and white sweater on and a choke collar with his raby tags and a regular collar on with stars and Boots and he had a training hardest on he was last seen toward prospect and Elliott avenue West heading toward downtown area and he had gotten hit by a car but got up and ran off<p/>Age: Over 1 year<p/>Location Lost: Elliot ave w and prospect, Seattle WA  98119<p/>Lost Date: 2026-03-27<p/>",
K26-187958,A745498,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=3062100,LOST,Gretel,Cat,Over 1 year<p/>,Female,Domestic Shorthair,Unknown,"Apr 06, 2026",Date Lost,S  152nd St & Macadam Rd S,Tukwila,,98188,TUKWILA,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=3062100,Image Copyright HLP Inc. 2026,"Description: Solid gray with white on the chest and lower belly<p/>Age: Over 1 year<p/>Location Lost: S 152nd St and Macadam, Seattle WA  98188<p/>Lost Date: 2026-04-06<p/>",
K26-187854,A745334,Regional Animal Services of King County,FOUND,https://kingcounty.gov/en/dept/executive-services/animals-pets-pests/regional-animal-services/overview-about,In RASKC Foster Home,,Cat,1 WEEK,Female,Domestic Shorthair,Gray,"Apr 07, 2026",Received on,30300 block of  KENT BLACK DIAMOND RD SE,KENT,WA,98042,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A745334,Image Copyright HLP Inc. 2026,Received on: 2026-04-07<p/> Found Near: 30300 block of  KENT BLACK DIAMOND RD SE<p/> Description: Gray Female Domestic Shorthair Cat<p/> Age: 1 WEEK<p/> Current Location: In RASKC Foster Home <p/>,
